CÓDIGO OACI,TIPO,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,RAMPA(S) DE APROXIMAÇÃO,FORMATO DA ÁREA DE POUSO,DIMENSÕES,RESISTÊNCIA,SUPERFÍCIE,p1,p2,p3,p4,PORTARIAS,,,,Portaria Nº 291/2016 ,Portaria Nº 2007/2014 e alterações ,OBSERVAÇÃO
SNPY,AERÓDROMO,SÃO SEBASTIÃO DO PARAÍSO,SÃO SEBASTIÃO DO PARAÍSO,MG,20° 56' 57'' S,46° 59' 3'' W,948 m,VFR Diurno,4/22,1600 m,30 m,PCN 8/F/C/Y/U,Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1957-0316-30,0,0,0,PD1957-0316-30,,,,AD,-,-
SNPZ,AERÓDROMO,COMANDANTE ALMIR MENDES DE OLIVEIRA,PEDRA AZUL,MG,16° 4' 2'' S,41° 10' 2'' W,800 m,VFR Diurno,10/28,1000 m,30 m,"5700 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2000-1295,0,0,0,PD2000-1295,,,,AD,-,-
SNQD,AERÓDROMO,SOUSA,SOUSA,PB,6° 47' 1'' S,38° 14' 1'' W,227 m,VFR Diurno/Noturno,15/33,1200 m,30 m,PCN 13/F/A/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1998-0681E,0,0,0,PD1998-0681E,,,,AD,-,-
SNQG,AERÓDROMO,CANGAPARA,FLORIANO,PI,6° 50' 46'' S,43° 4' 41'' W,210 m,VFR Diurno,16/34,1800 m,45 m,PCN 6/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1967-0006,0,0,0,PD1967-0006,,,,AD,-,-
SNQM,AERÓDROMO,QUEIMADAS,QUEIMADAS,BA,10° 59' 18'' S,39° 37' 14'' W,320 m,VFR Diurno,3/21,920 m,20 m,"5000 kg / 0,5 MPa",Cascalho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2001-0396,0,0,0,PD2001-0396,,,,AD,-,-
SNQU,AERÓDROMO,MUCUGÊ,MUCUGÊ,BA,13° 1' 54'' S,41° 26' 40'' W,1056 m,VFR Diurno,7/25,1300 m,19 m,PCN 6/F/C/Z/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2000-0529,0,0,0,PD2000-0529,,,,AD,-,-
SNQV,AERÓDROMO,CURVELO,CURVELO,MG,18° 45' 58'' S,44° 27' 29'' W,672 m,VFR Diurno,9/27,1200 m,23 m,"5000 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1989-0323,0,0,0,PD1989-0323,,,,AD,-,-
SNQX,AERÓDROMO,QUIXADÁ,QUIXADÁ,CE,4° 58' 1'' S,39° 0' 1'' W,199 m,VFR Diurno,14/32,1200 m,30 m,PCN 17/F/A/X/T,Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2004-0368,0,0,0,PD2004-0368,,,,AD,-,-
SNRD,AERÓDROMO,PRADO,PRADO,BA,17° 21' 2'' S,39° 13' 2'' W,20 m,VFR Diurno,11/29,1200 m,30 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AP-0,4ª,-
SNRM,AERÓDROMO,REMANSO,REMANSO,BA,9° 34' 48'' S,42° 6' 57'' W,405 m,VFR Diurno,11/29,1350 m,30 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-0401,0,0,0,PA2016-0401,,,,AD,-,-
SNRP,AERÓDROMO,RIO PARANAÍBA,RIO PARANAÍBA,MG,19° 12' 45'' S,46° 14' 26'' W,1145 m,VFR Diurno,16/34,1000 m,99 m,"4000 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNRS,AERÓDROMO,RUSSAS,RUSSAS,CE,4° 56' 21'' S,38° 0' 43'' W,35 m,VFR Diurno,7/25,1074 m,27 m,"5700 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNRU,AERÓDROMO,OSCAR LARANJEIRAS,CARUARU,PE,8° 17' 4'' S,36° 0' 39'' W,576 m,VFR Diurno,13/31,1800 m,30 m,PCN 30/F/C/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1985-0184,0,0,0,PD1985-0184,,,,AD,-,-
SNRX,AERÓDROMO,RIACHÃO,RIACHÃO,MA,7° 21' 1'' S,46° 38' 2'' W,400 m,VFR Diurno,12/30,1200 m,40 m,PCN 6/F/C/Y/U,Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNRZ,AERÓDROMO,OLIVEIRA,OLIVEIRA,MG,20° 42' 52'' S,44° 51' 55'' W,982 m,VFR Diurno/Noturno,3/21,1180 m,18 m,"5700 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2010-1436,0,0,0,PA2010-1436,,,,AD,-,-
SNSC,AERÓDROMO,SACRAMENTO,SACRAMENTO,MG,19° 53' 35'' S,47° 25' 20'' W,1002 m,VFR Diurno,3/21,1200 m,30 m,"5000 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNSE,AERÓDROMO,SENTO SÉ,SENTO SÉ,BA,9° 45' 27'' S,41° 51' 18'' W,398 m,VFR Diurno,15/33,1100 m,25 m,PCN 10/F/B/Y/U,Cascalho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-1707,0,0,0,PA2014-1707,,,,AD,-,-
SNSG,AERÓDROMO,SALGUEIRO,SALGUEIRO,PE,8° 2' 48'' S,39° 8' 2'' W,469 m,VFR Diurno,17/35,1300 m,30 m,PCN 6/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNSI,AERÓDROMO,SANTA MARIA DO SUAÇUÍ,SANTA MARIA DO SUAÇUÍ,MG,18° 11' 55'' S,42° 27' 58'' W,480 m,VFR Diurno,3/21,800 m,35 m,"2500 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNSM,AERÓDROMO,SALINÓPOLIS,SALINÓPOLIS,PA,0° 41' 49'' S,47° 20' 16'' W,27 m,VFR Diurno,9/27,1000 m,25 m,"5700 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1999-0432,0,0,0,PD1999-0432,,,,AD,-,-
SNSO,AERÓDROMO,SERRO,SERRO,MG,18° 36' 40'' S,43° 25' 26'' W,740 m,VFR Diurno,2/20,920 m,23 m,"5700 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNSS,AERÓDROMO,SALINAS,SALINAS,MG,16° 12' 28'' S,42° 19' 20'' W,763 m,VFR Diurno,18/36,1480 m,30 m,PCN 8/F/B/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1995-0218,0,0,0,PD1995-0218,,,,AD,-,-
SNST,AERÓDROMO,SOUTO SOARES,SOUTO SOARES,BA,12° 5' 50'' S,41° 38' 26'' W,816 m,VFR Diurno,17/35,1200 m,20 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2000-0532,0,0,0,PD2000-0532,,,,AD,-,-
SNSW,AERÓDROMO,SOURE,SOURE,PA,0° 41' 52'' S,48° 31' 10'' W,13 m,VFR Diurno,6/24,1100 m,30 m,"5700 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-2707,0,0,0,PA2015-2707,,,,AD,-,-
SNTF,AERÓDROMO,TEIXEIRA DE FREITAS,TEIXEIRA DE FREITAS,BA,17° 31' 28'' S,39° 40' 6'' W,105 m,VFR Diurno/Noturno,11/29,1460 m,30 m,PCN 31/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-1877,0,0,0,PA2014-1877,,,,AP-1,4ª,-
SNTI,AERÓDROMO,ÓBIDOS,ÓBIDOS,PA,1° 52' 4'' S,55° 30' 51'' W,100 m,VFR Diurno,9/27,1520 m,30 m,PCN 9/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNTK,AERÓDROMO,MONTE CARMELO,MONTE CARMELO,MG,18° 43' 2'' S,47° 28' 59'' W,885 m,VFR Diurno,3/21,1000 m,23 m,PCN 8/F/C/Y/U,Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNTL,AERÓDROMO,TAMBORIL,TAMBORIL,CE,4° 51' 1'' S,40° 21' 2'' W,340 m,VFR Diurno,11/29,1000 m,30 m,PCN 10/F/C/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNTM,AERÓDROMO,TURMALINA,TURMALINA,MG,17° 14' 2'' S,42° 44' 2'' W,882 m,VFR Diurno,1/19,1000 m,30 m,"2500 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNTO,AERÓDROMO,JUSCELINO KUBITSCHECK,TEÓFILO OTONI,MG,17° 53' 27'' S,41° 30' 54'' W,479 m,VFR Diurno/Noturno,11/29,1190 m,23 m,PCN 10/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1994-0448,0,0,0,PD1994-0448,,,,AP-0,4ª,-
SNTQ,AERÓDROMO,BURITIRAMA,BURITIRAMA,BA,10° 43' 18'' S,43° 39' 13'' W,499 m,VFR Diurno,11/29,1102 m,29 m,"5700 kg / 0,5 MPa",Piçarra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-2911,0,0,0,PA2015-2911,,,,AD,-,-
SNTR,AERÓDROMO,PIRITIBA,PIRITIBA,BA,11° 44' 17'' S,40° 34' 11'' W,585 m,VFR Diurno,10/28,1227 m,25 m,PCN 8/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2000-0602,0,0,0,PD2000-0602,,,,AD,-,-
SNTS,AERÓDROMO,PEREGRINO FILHO,PATOS,PB,7° 2' 16'' S,37° 15' 27'' W,250 m,VFR Diurno/Noturno,12/30,1600 m,30 m,PCN 6/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1998-0181E,0,0,0,PD1998-0181E,,,,AD,-,-
SNTU,AERÓDROMO,TURIAÇU,TURIAÇU,MA,1° 46' 1'' S,45° 27' 2'' W,10 m,VFR Diurno,9/27,600 m,30 m,"3000 kg / 0,5 MPa",Grama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNTY,AERÓDROMO,CORRENTINA,CORRENTINA,BA,13° 22' 48'' S,44° 37' 19'' W,667 m,VFR Diurno,12/30,1140 m,25 m,PCN 8/F/C/Y/U,Cascalho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-2849,0,0,0,PA2015-2849,,,,AD,-,-
SNUB,AERÓDROMO,UBÁ,UBÁ,MG,21° 7' 21'' S,42° 52' 56'' W,340 m,VFR Diurno,16/34,1080 m,30 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1983-0189,0,0,0,PD1983-0189,,,,AD,-,-
SNUC,AERÓDROMO,AÇU,AÇU,RN,5° 35' 42'' S,36° 57' 39'' W,111 m,VFR Diurno,11/29,1500 m,14 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-0351,0,0,0,PA2016-0351,,,,AD,-,-
SNUD,AERÓDROMO,URBANO SANTOS,URBANO SANTOS,MA,3° 11' 59'' S,43° 23' 11'' W,60 m,VFR Diurno,11/29,1200 m,40 m,PCN 8/F/C/Y/U,Grama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNUH,AERÓDROMO,SEBASTIÃO GOMES DE SOUZA,PIUMHI,MG,20° 26' 19'' S,45° 59' 34'' W,745 m,VFR Diurno,6/24,1115 m,30 m,"5700 kg / 0,62 MPa",Grama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNUI,AERÓDROMO,ARAÇUAÍ,ARAÇUAÍ,MG,16° 51' 7'' S,42° 2' 46'' W,360 m,VFR Diurno,9/27,1200 m,30 m,PCN 10/F/B/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1983-0173,0,0,0,PD1983-0173,,,,AD,-,-
SNUN,AERÓDROMO,UNAÍ,UNAÍ,MG,16° 21' 14'' S,46° 55' 37'' W,609 m,VFR Diurno,17/35,1100 m,30 m,PCN 10/F/C/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNUT,AERÓDROMO,UTINGA,UTINGA,BA,12° 6' 20'' S,41° 4' 28'' W,598 m,VFR Diurno,6/24,1420 m,20 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-0458,0,0,0,PA2016-0458,,,,AD,-,-
SNUU,AERÓDROMO,UAUÁ,UAUÁ,BA,9° 49' 55'' S,39° 29' 59'' W,452 m,VFR Diurno,15/33,1200 m,25 m,PCN 8/F/C/Y/U,Cascalho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-0342,0,0,0,PA2016-0342,,,,AD,-,-
SNUY,AERÓDROMO,BURITIS,BURITIS,MG,15° 37' 54'' S,46° 25' 43'' W,570 m,VFR Diurno,6/24,800 m,20 m,"2500 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNVB,AERÓDROMO,VALENÇA,VALENÇA,BA,13° 17' 47'' S,38° 59' 33'' W,5 m,VFR Diurno/Noturno,4/22,1800 m,30 m,PCN 55/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2000-0740,0,0,0,PD2000-0740,,,,AP-1,3ª,-
SNVC,AERÓDROMO,VIÇOSA,VIÇOSA,MG,20° 44' 41'' S,42° 50' 31'' W,659 m,VFR Diurno,17/35,900 m,30 m,"5000 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNVD,AERÓDROMO,SANTA MARIA DA VITÓRIA,SANTA MARIA DA VITÓRIA,BA,13° 24' 17'' S,44° 13' 23'' W,465 m,VFR Diurno,10/28,1200 m,30 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-1706,0,0,0,PA2014-1706,,,,AD,-,-
SNVI,AERÓDROMO,MELLO VIANA,TRÊS CORAÇÕES,MG,21° 47' 26'' S,45° 16' 9'' W,985 m,VFR Diurno,4/22,1400 m,40 m,PCN 8/F/C/Y/U,Grama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1951-0480,0,0,0,PD1951-0480,,,,AD,-,-
SNVL,AERÓDROMO,VIRGEM DA LAPA,VIRGEM DA LAPA,MG,16° 46' 26'' S,42° 23' 15'' W,755 m,VFR Diurno,5/23,1150 m,20 m,"5000 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNVS,AERÓDROMO,BREVES,BREVES,PA,1° 38' 19'' S,50° 26' 29'' W,30 m,VFR Diurno,6/24,1600 m,30 m,PCN 27/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1987-0475,0,0,0,PD1987-0475,,,,AP-0,4ª,-
SNVV,AERÓDROMO,VALENTE,VALENTE,BA,11° 24' 40'' S,39° 26' 36'' W,403 m,VFR Diurno,11/29,1000 m,20 m,"5700 kg / 0,5 MPa",Areia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1996-0014,0,0,0,PD1996-0014,,,,AD,-,-
SNVZ,AERÓDROMO,VÁRZEA DA PALMA,VÁRZEA DA PALMA,MG,17° 38' 42'' S,44° 42' 38'' W,524 m,VFR Diurno,1/19,1100 m,23 m,PCN 8/F/C/Y/U,Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNWC,AERÓDROMO,CAMOCIM,CAMOCIM,CE,2° 53' 48'' S,40° 51' 25'' W,"18,1 m",VFR Diurno/Noturno,14/32,1200 m,30 m,PCN 14/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2012-1263,0,0,0,PA2012-1263,,,,AD,-,-
SNWS,AERÓDROMO,CRATEÚS,CRATEÚS,CE,5° 12' 40'' S,40° 42' 15'' W,315 m,VFR Diurno/Noturno,8/26,1500 m,30 m,PCN 12/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2001-0798,0,0,0,PD2001-0798,,,,AD,-,-
SNXA,AERÓDROMO,MACHADO,MACHADO,MG,21° 40' 41'' S,45° 50' 28'' W,905 m,VFR Diurno,17/35,1200 m,50 m,PCN 8/F/C/Y/U,Cascalho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNXB,AERÓDROMO,CAXAMBU,CAXAMBU,MG,21° 55' 3'' S,44° 58' 10'' W,865 m,VFR Diurno/Noturno,9/27,1500 m,30 m,PCN 8/F/C/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1990-0324,0,0,0,PD1990-0324,,,,AD,-,-
SNXQ,AERÓDROMO,XIQUE-XIQUE,XIQUE-XIQUE,BA,10° 50' 3'' S,42° 41' 0'' W,427 m,VFR Diurno,13/31,1420 m,20 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-2207,0,0,0,PA2014-2207,,,,AD,-,-
SNXW,AERÓDROMO,CHAVES,CHAVES,PA,0° 12' 1'' S,49° 58' 2'' W,6 m,VFR Diurno,8/26,1200 m,99 m,"2500 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNYA,AERÓDROMO,ALMEIRIM,ALMEIRIM,PA,1° 28' 45'' S,52° 34' 41'' W,178 m,VFR Diurno,6/24,1200 m,30 m,PCN 7/F/B/Y/U,Piçarra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-0560,0,0,0,PA2015-0560,,,,AD,-,-
SNYB,AERÓDROMO,TITO TEIXEIRA,ITUIUTABA,MG,19° 0' 7'' S,49° 29' 14'' W,605 m,VFR Diurno,3/21,1200 m,30 m,PCN 8/F/B/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNYD,AERÓDROMO,PILÃO ARCADO,PILÃO ARCADO,BA,10° 0' 31'' S,42° 28' 39'' W,394 m,VFR Diurno,11/29,1100 m,19 m,"5600 kg / 0,5 MPa",Cascalho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-0492,0,0,0,PA2016-0492,,,,AD,-,-
SNYE,AERÓDROMO,PINHEIRO,PINHEIRO,MA,2° 29' 1'' S,45° 4' 2'' W,38 m,VFR Diurno,9/27,1740 m,30 m,PCN 29/F/C/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNYT,AERÓDROMO,ITUAÇU,ITUAÇU,BA,13° 49' 43'' S,41° 18' 8'' W,535 m,VFR Diurno,3/21,1500 m,30 m,PCN 10/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-2364,0,0,0,PA2014-2364,,,,AD,-,-
SNYU,AERÓDROMO,AERÓDROMO DE ITURAMA,ITURAMA,MG,19° 43' 4'' S,50° 13' 3'' W,475 m,VFR Diurno/Noturno,18/36,1550 m,30 m,PCN 10/F/A/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2010-2003,0,0,0,PA2010-2003,,,,AD,-,-
SNZA,AERÓDROMO,POUSO ALEGRE,POUSO ALEGRE,MG,22° 17' 20'' S,45° 55' 10'' W,885 m,VFR Diurno,1/19,1220 m,30 m,PCN 7/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2000-1274,0,0,0,PD2000-1274,,,,AP-0,3ª,-
SNZP,AERÓDROMO,POÇÕES,POÇÕES,BA,14° 31' 22'' S,40° 20' 40'' W,777 m,VFR Diurno,12/30,1100 m,24 m,PCN 6/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-0115,0,0,0,PA2016-0115,,,,AD,-,-
SNZR,AERÓDROMO,PARACATU,PARACATU,MG,17° 14' 35'' S,46° 52' 53'' W,719 m,VFR Diurno,10/28,1500 m,30 m,PCN 11/F/C/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1984-0134,PD1995-0040,0,0,PD1984-0134,PD1995-0040,,,AD,-,-
SNZW,AERÓDROMO,ITUBERÁ,ITUBERÁ,BA,13° 43' 54'' S,39° 8' 26'' W,7 m,VFR Diurno,10/28,850 m,20 m,PCN 6/F/B/Y/U,Cascalho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-2105,0,0,0,PA2015-2105,,,,AD,-,-
SSAB,AERÓDROMO,MOISÉS LUPION,IBAITI,PR,23° 45' 47'' S,50° 15' 53'' W,600 m,VFR Diurno,5/23,1200 m,18 m,"5700 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1988-0103COMAR,0,0,0,PD1988-0103COMAR,,,,AD,-,-
SSAE,AERÓDROMO,ARROIO GRANDE,ARROIO GRANDE,RS,32° 13' 27'' S,53° 4' 2'' W,49 m,VFR Diurno,6/24,1000 m,18 m,"5700 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1985-0071COMAR,0,0,0,PD1985-0071COMAR,,,,AD,-,-
SSAK,AERÓDROMO,CARLOS RUHL,CRUZ ALTA,RS,28° 39' 28'' S,53° 36' 38'' W,470 m,VFR Diurno,4/22,800 m,60 m,"2500 kg / 0,5 MPa",Grama,14/32,750 m,60 m,"2500 kg / 0,5 MPa",Grama,-,-,-,-,-,-,-,-,-,-,PD1950-0300,0,0,0,PD1950-0300,,,,AD,-,-
SSAN,AERÓDROMO,JOÃO GALDINO,ANDIRÁ,PR,23° 1' 37'' S,50° 13' 42'' W,490 m,VFR Diurno,8/26,1000 m,23 m,"5000 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1996-0239,0,0,0,PD1996-0239,,,,AD,-,-
SSAP,AERÓDROMO,CAPITÃO JOÃO BUSSE,APUCARANA,PR,23° 36' 44'' S,51° 23' 6'' W,805 m,VFR Diurno/Noturno,10/28,1400 m,30 m,PCN 9/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1983-0037COMAR,PD1995-0430,0,0,PD1983-0037COMAR,PD1995-0430,,,AP-0,4ª,-
SSAQ,AERÓDROMO,AEROCLUBE DE PASSO FUNDO,PASSO FUNDO,RS,28° 15' 2'' S,52° 31' 0'' W,600 m,VFR Diurno,15/33,1080 m,35 m,"5700 kg / 0,5 MPa",Grama,17/35,940 m,18 m,"5700 kg / 0,5 MPa",Grama,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SSBD,AERÓDROMO,SOBRADINHO,SOBRADINHO,RS,29° 23' 47'' S,52° 59' 30'' W,440 m,VFR Diurno,1/19,700 m,30 m,"2500 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SSBE,AERÓDROMO,CAMAPUÃ,CAMAPUÃ,MS,19° 35' 52'' S,54° 1' 9'' W,563 m,VFR Diurno,15/33,1200 m,23 m,PCN 10/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1999-0316,0,0,0,PD1999-0316,,,,AD,-,-
SSBJ,AERÓDROMO,BOM JESUS,BOM JESUS,RS,28° 36' 46'' S,50° 26' 58'' W,1071 m,VFR Diurno,16/34,1320 m,18 m,"5700 kg / 0,62 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1988-0427,0,0,0,PD1988-0427,,,,AD,-,-
SSBL,AERÓDROMO,BLUMENAU,BLUMENAU,SC,26° 49' 58'' S,49° 5' 37'' W,18 m,VFR Diurno,18/36,1080 m,18 m,PCN 17/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1972-0150,0,0,0,PD1972-0150,,,,AP-0,4ª,-
SSBN,AERÓDROMO,BELÉM NOVO,PORTO ALEGRE,RS,30° 11' 16'' S,51° 10' 58'' W,6 m,VFR Diurno,8/26,1000 m,30 m,"3000 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1979-0028,0,0,0,PD1979-0028,,,,AD,-,-
SSBR,AERÓDROMO,YARA,BANDEIRANTES,PR,23° 4' 22'' S,50° 25' 23'' W,402 m,VFR Diurno,14/32,1300 m,100 m,PCN 8/F/C/Y/U,Cascalho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1957-0017,0,0,0,PD1957-0017,,,,AD,-,-
SSBV,AERÓDROMO,BELA VISTA,BELA VISTA,MS,22° 4' 56'' S,56° 32' 18'' W,235 m,VFR Diurno,3/21,1300 m,23 m,PCN 10/F/B/Y/T,Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1999-0028,0,0,0,PD1999-0028,,,,AD,-,-
SSCD,AERÓDROMO,CHAPADÃO DO SUL,CHAPADÃO DO SUL,MS,18° 50' 16'' S,52° 29' 12'' W,806 m,VFR Diurno/Noturno,5/23,2000 m,30 m,PCN 30/F/C/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2013-2339,0,0,0,PA2013-2339,,,,AD,-,-
SSCE,AERÓDROMO,AEROCLUBE DE BAGÉ,BAGÉ,RS,31° 19' 40'' S,54° 8' 5'' W,220 m,VFR Diurno,1/19,640 m,50 m,"2500 kg / 0,5 MPa",Grama,15/33,600 m,50 m,"2500 kg / 0,5 MPa",Grama,9/27,570 m,50 m,"2500 kg / 0,5 MPa",Grama,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
